User ID,Product ID,Rating,Time Stamp
A11NLVWA0MTSGH,132793040,5,1365811200
A2CX7LUOHB2NDG,321732944,5,1341100800
A1GI0U4ZRJA8WN,439886341,1,1334707200
A2NWSAGRHCP8N5,439886341,1,1367193600
A2WNBOD3WNDNKT,439886341,3,1374451200
A1QGNMC6O1VW39,511189877,5,1397433600
A2TY0BTJOTENPG,511189877,5,1395878400
A34ATBPOK6HCHY,511189877,5,1395532800
A11NLVWA0MTSGH,511189877,2,1397433600
A89DO69P0XZ27,511189877,5,1395446400
A132P6YSJSI5G2,528881469,2,1298851200
A19TBA1WARJS55,528881469,2,1340496000
A1DA3W4GTFXP6O,528881469,5,1405641600
A1E4WG8HRWWK4R,528881469,5,1390867200
A1H8PY3QHMQQA0,528881469,2,1290556800
A89DO69P0XZ27,528881469,1,1286582400
A24EV6RXELQZ63,528881469,1,1317254400
A24QFSUU00IZ05,528881469,2,1293580800
A265MKAR2WEH3Y,528881469,4,1294790400
A28B1G1MSJ6OO1,528881469,4,1280016000
A29LPQQDG7LD5J,528881469,1,1352073600
A2AEHUKOV014BP,528881469,5,1284249600
A2AOEW5UGXFOOQ,528881469,5,1294790400
A2AW1SSVUIYV9Y,528881469,4,1289001600
A2CPBQ5W4OGBX,528881469,2,1277078400
A89DO69P0XZ27,528881469,4,1278547200
A2XSWV6AQI90BR,528881469,1,1299974400
A37K02NKUIT68K,528881469,5,1293235200
A3C5SMBSKKWNPT,528881469,5,1285113600
A3IQGFB959IR4P,528881469,1,1327363200
A3N7T0DY83Y4IG,528881469,3,1283990400
A3T6ZQONABIJSG,528881469,1,1358035200
A1NQPG5IJ43HJI,558835155,3,1372550400
A1HOSS7PNC1LMU,594012015,1,1374537600
A2EGPA22UHMQXL,594012015,1,1405296000
A2YX0Z6RHA8Y2H,594012015,1,1384300800
A38ETMHM9ATSF0,594012015,1,1374105600
A38T51B7J6QVD9,594012015,1,1377129600
A89DO69P0XZ27,594012015,5,1374278400
A9HI77BE35VYE,594012015,1,1373932800
AC57CU3TF6ZMJ,594012015,5,1404172800
A34O6MND17VDDH,594017343,1,1323216000
A3JSAGWSLY5044,594017580,3,1404432000
A2XTFY0GJDF3R2,594033896,4,1300233600
A3B12X05JZKM94,594033896,5,1405382400
A3ILG56NE5QU37,594033896,5,1399420800
AKZOMZCNU41GZ,594033896,4,1388620800
